,Astyanax_sp,Knodus_moenkhausii,Astyanax_rivularis,Hyphessobrycon_balbus,Piabina_argentea,Phalloceros_harpagos,Hypoptopomatinae,Hypostomus_sp
Diptera_larvae,4.3,8.2,1.4,1.1,8.9,7.1,0,0
Detritus,24.3,29.2,19.6,18.4,19.4,63.6,15,97.5
Animal_fragments,22.7,22.1,20.9,5,10.8,3.9,80,0
Woody_plants_fragments,17.6,16.4,17.8,31.8,9,7.2,5,2
Formicidae,3.6,5.6,8.4,1.6,0.7,0.4,0,0
Trichoptera_larvae,2.5,1.4,2.5,16,4.9,1.5,0,0
Hemiptera,2.3,0.7,4.4,0,0,0,0,0
Aquatic_insects_fragments,9.3,4.9,6.5,25.5,15.7,12.2,0,0
Hymenoptera,0.8,0.7,1.4,0,0.1,0,0,0
Unidentified,1.8,1.2,5.1,0,0,0,0,0
Lepidoptera,0.1,0,0.2,0,0,0,0,0
Diptera,0.8,0,0.5,0,0.3,0,0,0
Seeds,0.7,0,2.9,0,6.3,0,0,0
Coleoptera_larvae,0.5,0.1,0.1,0,2,0.3,0,0
Coleoptera,1.4,4.3,3,0,5.7,0,0,0
Diptera_pupae,0.4,0.4,0.3,0,1.4,0,0,0
Ephemeroptera_larvae,1.3,1,0.2,0,1.8,0.9,0,0
Unidentified_aquatic_insect,0.5,0,0.9,0.3,1.1,0,0,0
Lepidoptera_larvae,0.2,0,0,0,0,0,0,0
Odonata_larvae,1.7,1,0.2,0,5.6,0,0,0
Orthoptera_larvae,0.1,0,0.8,0,0,0,0,0
Plecoptera_larvae,0.2,0.4,0,0,1.2,0.1,0,0
Araneae,0.2,0.2,0,0,0,0,0,0
Filament_algae,1.1,0,0.1,0,0.1,0.6,0,0
Scala,0.1,0,1.3,0.4,0.1,1.4,0,0
Tecameba,0,0,0,0,0.8,0.2,0,0
Acari,0,0,0.1,0,0,0,0,0
Microcustaceans,0,0,0,0,0,0.2,0,0
Nematoda,0.3,0,0,0,0.4,0.3,0,0
Oligochaeta,0.2,0.1,0,0,0.1,0,0,0
Parasite_oligochaeta,0,0,0.2,0,0,0,0,0
Blattodae,0,0,0,0,0.1,0,0,0
Sediment,0,0,0,0,1.1,0,0,0.5
Unidentified_insect,1,1.9,1.1,0,2.5,0,0,0
