,Aspidoras_fuscoguttatus,Astyanax_sp,Characidium_xanthopterum,Hasemania_sp,Heptapterus_sp,Hyphessobrycon_balbus,Knodus_moenkhausii,Kolpotocheirodon_theloura,Moenkhausia_sp,Phalloceros_harpagos,Planaltina_myersi,Rhamdia_quelen,Rivulus_pictus
Filament_algae,0,9.359064094,0,0,0,0.489951005,6.690669067,3.571428571,0.35,0,0,0,0
Oligochaeta,0,4.01959804,0,0,47.55,0.389961004,2.930293029,0,0,0,1.580158016,24.95748725,0
Nemathelmintes,0.130013001,0.019998,0.03,0.03,0,0.019998,0.230023002,0.640256102,0.24,0.149985001,0.340034003,0,0.119988001
Tecameba,0.270027003,0,0,0.01,0,0,0.010001,0,0,0.049995,0.010001,0,0
Molusca,0,0,1.62,0,0,0.239976002,0.120012001,0.090036014,0,0,0,0,0.579942006
Decapoda,0,0.129987001,0,0,0,2.589741026,0,0,0,0,0,0,0
Microcrustaceos,3.510351035,0.009999,4.37,21.27,7.62,0.159984002,0.050005001,0.610244098,0.26,0,0.010001,0,5.299470053
Collembola,0,0,0,0,0,0,0,0,0.04,0,0,0,0
Ephemeroptera,2.500250025,0.189981002,12.15,0.03,8.88,0.219978002,1.03010301,2.721088435,1.01,11.50884912,2.97029703,0.400120036,17.89821018
Tricoptera,14.54145415,0.459954005,4.86,0.02,9.03,1.949805019,0.99009901,1.870748299,0,0,3.04030403,14.21426428,3.609639036
Plecoptera,0,0.109989001,0,0,2.35,0.089991001,0.380038004,0.170068027,0.16,0,0,0,0
Megaloptera,0,0.429957004,0,0,0,0.379962004,0.180018002,0.070028011,0.39,0,0,0,0
Odonata,0,2.379762024,0,0,12.03,0.619938006,1.070107011,0.170068027,7.46,0,1.310131013,0,8.369163084
Lepidoptera,0,0.609939006,0,0,0,1.429857014,0.080008001,0,0.93,0,0,0,0
Coleoptera_larva,0,0.379962004,0,0,0,0.499950005,0.270027003,0.030012005,0.07,0,1.310131013,0,0
Hemiptera_larva,0,0.029997,0,0,0,0.399960004,0.180018002,0,0.35,0,0.450045005,0.160048014,0
Diptera_larva,5.820582058,0.279972003,0.81,77.6,0.15,0.459954005,3.400340034,0.390156062,6.1,0.159984002,0.380038004,0.870261078,1.579842016
Chironimidae,14.39143914,0.189981002,17.34,0.14,2.99,0.749925007,4.090409041,12.96518607,1.78,8.699130087,2.390239024,0.89026708,26.51734827
Simuliidae,3.490349035,0.239976002,4.05,0,0.29,1.359864014,1.720172017,0.340136054,0,0,0.430043004,0.180054016,0
Pupa,0.120012001,0.319968003,0,0.05,1.47,0.649935006,1.180118012,5.782312925,1.13,1.459854015,1.840184018,0.340102031,1.279872013
Acarina,0.010001,0,0,0,0,0,0,0.020008003,0,0,0.040004,0,0.049995
Fishes,0,4.069593041,0,0,0,6.089391061,0,0,0,0,0,40.55216565,0
Escamas,0,1.249875012,0,0,0,0.519948005,0.650065007,0,0.07,0.019998,0.730073007,0.320096029,0.089991001
Fragment_terrestrial_insects,3.780378038,0.569943006,0,0.23,2.2,1.04989501,1.870187019,17.77711084,4.39,0.309969003,2.200220022,0,14.56854315
Vegetais_superiores,2.04020402,51.07489251,0,0.06,0.45,45.15548445,43.97439744,3.321328531,8.2,1.319868013,9.350935094,3.711113334,2.139786021
Araneae_acarina,0.230023002,2.03979602,1.3,0.01,0,0.549945005,0.120012001,0.070028011,0.16,0.019998,1.210121012,0,0.349965003
Hymenoptera,0,0.719928007,0,0.01,0,2.629737026,0.020002,0,1.86,0,0.740074007,0,0
Formicidae,0,2.309769023,0,0.03,0,10.91890811,2.810281028,0.030012005,10.95,0,8.790879088,0,0.699930007
Coleoptera,0,2.219778022,0,0.02,0,1.309869013,1.230123012,0,1.13,0,1.660166017,0,0
Hemiptera,0,1.169883012,0,0,0,0.889911009,0,0,5.75,0,1.390139014,0,0
Diptera,0,0.229977002,0,0.01,0,0.239976002,0,0,0,0,0,0,0
Insects_terrestrial_fragment,0,2.389761024,0,0.02,0,2.329767023,0.900090009,0,6.99,0,5.450545055,2.100630189,0.459954005
Detrit,36.94369437,1.329867013,53.47,0.02,0,2.149785021,1.680168017,29.26170468,0.19,72.67273273,0.170017002,0.160048014,7.669233077
Materia_organica,5.820582058,3.03969603,0,0.14,2.35,3.089691031,10.77107711,8.643457383,3.53,3.629637036,3.740374037,8.722616785,5.929407059
Animal_fragment,3.490349035,6.799320068,0,0.26,2.64,10.2389761,8.890889089,10.46418567,36.47,0,46.86468647,2.420726218,2.789721028
Sand,2.910291029,1.629837016,0,0.04,0,0.139986001,2.480248025,0.990396158,0.04,0,1.600160016,0,0
