,Pristigaster_cayana,Aphyocharax_sp,Astyanax_fasciatus,Astyanax_bimaculatus,Astyanax_sp_3,Astyanax_sp_5,Brycon_falcatus,Bryconamericus_sp,Bryconops_melanurus,Bryconops_giacopinii,Creagrutus_sp,Galeocharax_sp,Jupiaba_apenima,Deuterodon_sp,Hemigrammus_sp,Moenkausia_sanctaefilomenae,Odontostilbe_sp,Phenacogaster_sp,Roeboides_sp,Tetragonopterus_argenteus,Triportheus_angulatus,Myleus_sp,Myleus_sp_2,Thoracocharax_stellatus,Characidium_sp,Apareiodon_sp,Paradon_sp,Hemiodus_unimaculatus,Prochilodus_nigricans,Curimata_inornata,Steindachnerina_aff_aelegans,Leporinus_friderici,Leporinus_sp,Leporinus_sp_3,Caenotropus_labirinticus,Pyrrhulina_sp,Eigenmannia_trilineata,Sternopygus_macrurus,Apteronotus_albifrons,Apteronotus_sp,Hassar_orestis,Hassar_wilderi,Tatia_aulopygia,Imparfinis_sp,Phenacorhamdia_sp,Pimelodella_cristata,Pimelodella_blochii,Pimelodus_maculatus,Surubim_lima,Microglanis_sp,Bunocephalus_sp,Pseudocetopsis_plumbea,Aspidoras_sp,Hypoptopoma_sp,Hypostomus_emarginatus,Hypostomus_sp_1,Hypostomus_sp_2,Hypostomus_sp_3,Hypostomus_sp_4,Loricaria_sp,Parotocinclus_britiskii,Pseudoloricaria_sp,Spatuloricaria_sp,Sturisoma_nigrirostrum,Cochliodon_sp,Farlowella_sp,Rivulus_zygonectes,Aequidens_pallidus,Crenicichla_lugubris,Geophagus_surinamensis,Retroculus_lapidifer
Aquatic_insects,0,48.2,8.7,4.3,0,0.4004004,0,10.47358834,3.725261932,24.17943107,14.49438202,0,2.4,2.486355367,11.9460501,5.518018018,4.713114754,36.40167364,0,60.82375479,11.32852729,1.930894309,0,0,84.10087719,0,0,29.2,0,0,0,1.8,5.905905906,0,0.2002002,11.80118012,81.7,23.61653157,77,100,93.8,59.3,9.3,24.33333333,32.45901639,22.71259419,4.918032787,47.94794795,0,14.3,52.68703899,0,75,0,0,0,0,0,0,5.4,0,8.308308308,36.73673674,0,0,1,6.106106106,7.107107107,42.7,1.1,80.88088088
Terrestrial_insects,0,0,10.7,9.8,6.306306306,23.92392392,0,8.196721311,72.64260768,52.07877462,6.741573034,0,0.4,27.41055185,8.092485549,26.35135135,1.571038251,0,0,4.597701149,1.338825953,0,0,69.35797665,1.425438596,0,0,0,0,0,0,0,0.3003003,0,0,32.90329033,1.4,0.100070049,3.1,0,0,0.5,90.7,23,28.52459016,10.33369214,22.13114754,1.901901902,0,0,29.66280295,4.3,24.8,0,0,0,0,0,0,0,0,0.1001001,0.900900901,0,0,0,51.95195195,1.501501502,4.6,0,0
Leaves_and_flowers,0,6.5,26.7,19.6,16.51651652,8.008008008,0,14.571949,0,2.407002188,5.505617978,0,89.3,27.41055185,27.16763006,48.1981982,6.420765027,52.09205021,0,0,0,91.56504065,94.33962264,0,1.425438596,0,0,0.1,0,0,7.590759076,9.6,40.94094094,94.1,0,1.890189019,2.3,5.233663564,3.8,0,0,0,0,4.666666667,4.808743169,5.81270183,7.962529274,0,0,0,4.16227608,0,0,0,0,0,0,0,0,7.7,0,2.402402402,0,0.5,0,1,4.804804805,10.91091091,2.1,21.1,0
Detritus,0,0,2.7,0,0,0,0,5.373406193,0,0,0,0,0,0,0.770712909,0,29.91803279,0,0,0,0,0,0,0,6.25,0,0,0.1,100,100,86.50865087,0,0.900900901,0,61.86186186,3.800380038,1.5,0,0,0,6.2,39.6,0,0,4.918032787,13.67061356,0,0,0,0,0.263435195,0,0,100,100,97.5,100,100,100,24.9,83,9.70970971,11.81181181,90,0,80,1.301301301,2.902902903,6.7,10.6,4.604604605
Fruits_and_seeds,0,3.3,45.3,57.7,73.77377377,51.75175175,13.3,21.58469945,0,0.218818381,68.65168539,0,0,0,9.441233141,9.346846847,0.068306011,0,0,19.54022989,85.78784758,1.422764228,0,0,0,0,0,0,0,0,0,72.8,29.02902903,0,0,0,0.7,4.903432403,0,0,0,0,0,0,0,13.67061356,30.21077283,0,0,0,1.738672287,0,0,0,0,0,0,0,0,50.2,0,0,39.93993994,0,0,0,0,0.900900901,0,3.4,2.902902903
Arthropd_remains,100,35.9,2.3,1.1,0.700700701,4.904904905,86.7,30.69216758,22.81722934,12.03501094,0,0,0,39.41782899,32.75529865,6.531531532,35.6557377,0,0,4.214559387,1.544799176,0,5.660377358,8.560311284,0,0,0,70.6,0,0,0,14.4,2.102102102,0,24.72472472,43.90439044,6.2,42.72991094,15.3,0,0,0,0,46.66666667,27.54098361,20.23681378,9.484777518,3.803803804,0,85.7,11.16965227,95.7,0.1,0,0,0,0,0,0,0,0,1.301301301,6.206206206,0,0,1,19.01901902,22.92292292,3.7,38.1,0
Scales,0,0,0.2,0.1,0,0,0,2.003642987,0,0,0.337078652,0,0,0,0.192678227,3.378378378,0.068306011,0,100,10.82375479,0,0.914634146,0,0,0.657894737,0,0,0,0,0,0.100010001,1.2,0.700700701,0,0,0.400040004,0,0,0,0,0,0.4,0,0,1.74863388,4.843918192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1001001,35.43543544,0,0,0
Filamentous_algae,0,3.3,0.3,2,0,6.406406406,0,2.18579235,0,0.328227571,2.808988764,0,7.9,3.274711947,3.468208092,0.675675676,14.68579235,0,0,0,0,4.166666667,0,0,0,100,100,0,0,0,0,0.2,20.12012012,5.9,0,0,0.1,0,0,0,0,0,0,0.333333333,0,0,5.620608899,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,75.07507508,0,0,0,2,1.001001001,0,0.2,0,0
Fish,0,0,0,0,0,0,0,0,0,5.79868709,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33833834,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outhers,0,2.8,3.1,5.4,2.702702703,4.604604605,0,4.918032787,0.814901048,2.95404814,1.460674157,0,0,0,6.165703276,0,6.898907104,11.50627615,0,0,0,0,0,22.08171206,6.140350877,0,0,0,0,0,5.800580058,0,0,0,13.21321321,5.300530053,6.1,23.41639147,0.8,0,0,0.2,0,1,0,8.719052745,19.67213115,8.008008008,0,0,0.316122234,0,0.1,0,0,2,0,0,0,11.8,15,3.103103103,4.404404404,9.5,100,15,15.71571572,18.31831832,40,25.7,11.61161161
