,Poecilia_vivipara,Phalloceros_ocellatus ,Geophagus_brasiliensis ,Tricomycterus_pradensis ,Rhamdia_quelen ,Otothyris_travassosi
Acari,0,0,0.000051,0,0,0
Caridea_juvenil,0,0,0,1.21,0,0
Fragmentos_Gastropoda,0,0,0.29,0,0,0
Fragmentos_insetos,99.87,100,99.21,50,64.03,100
Fragmentos_vegetal,0,0,0,0,12.38,0
Fragmentos_decapoda,0,0,0,0,16.01,0
Gastropoda,0,0,0.24,0,0,0
Ixodidae,0.02,0,0,0,0,0
larva_Ceratopogonidae,0,0,0.01,1.21,0,0
larva_Chironomidae,0.11,0,0.2,0,0,0
Ninfa_Odonata,0,0,0,36.3,0,0
Poecilia_vivipara,0,0,0.03,0,7.58,0
Trichoptera,0,0,0,11.29,0,0
