,Acestrorhynchus_grandoculis,Acestrorhynchus_falcirostris,Acestrorhynchus_microlepis,Agoniates_halecinus,Auchenipterichthys_longimanus,Auchenipterus_nuchalis,Bryconops_caudomaculatus,Caenotropus_labyrinthicus,Catoprion_mento,Chalceus_epakros,Curimata_inornata,Cyphocharax_plumbeus,Geophagus_altifrons,Hemiodus_argenteus,Hemiodus_immaculatus,Hemiodus_microlepis,Hemiodus_semitaeniatus,Hemiodus_unimaculatus,Hoplias_malabaricus,Hypophthalmus_marginatus,Laemolyta_proxima,Leporinus_fasciatus,Moenkhausia_lepidura,Osteoglossum_bicirrhosum,Plagioscion_squamosissimus,Potamorhina_latior,Semaprochilodus_insignis,Serrasalmus_rhombeus,Tetragonopterus_argenteus,Tetragonopterus_chalceus,Triportheus_albus
insetos_aquaticos,0.0,0.0,0.0,0.0,0.6,2.1,18.3,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.8,2.4,18.4
insetos_terrestres,0.0,0.0,0.0,76.4,65.7,0.4,8.6,0.0,0.0,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.5,2.0,0.0,0.0,0.0,23.0,5.2,52.4
fragmentos_insetos,0.0,6.0,0.0,0.5,4.0,1.0,1.1,0.3,0.0,1.0,0.0,0.0,9.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,15.0,0.5,13.2,9.9,0.2,0.0,0.0,0.0,26.0,11.8,6.6
insetos_imaturos,0.0,0.0,0.5,0.0,15.6,9.6,0.0,0.8,0.0,1.2,0.1,0.0,42.2,0.0,32.6,0.1,3.6,0.0,0.0,7.7,0.0,25.8,63.6,0.0,0.0,0.0,0.0,0.0,7.9,59.5,22.2
peixes,8.0,99.9,99.5,22.7,1.4,0.3,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,0.0,0.0,99.6,0.0,0.0,1.0,1.9,0.0,0.2
escamas,2.0,6.0,4.0,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,5.3,0.0,7.0,0.1,72.3,0.0,1.6,0.0,0.0,1.9,9.0,0.0,4.0,0.0,0.0,0.0,7.0,3.1,0.0
algas_filamentosas,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.5,0.0,9.9,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
fragmento_vegetal,0.0,0.0,0.0,0.0,7.4,0.0,0.0,9.0,4.3,4.0,0.0,0.2,23.5,0.0,49.4,27.8,0.7,4.9,0.0,49.0,15.0,58.7,0.9,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.2
macrofita,0.0,0.0,0.0,0.0,2.9,0.0,0.0,1.3,0.0,8.0,0.0,4.0,5.4,0.0,0.9,26.7,0.0,22.7,0.0,0.0,0.0,0.7,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fitoplancton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,2.2,1.2,0.0,22.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
detrito,0.0,0.0,0.0,0.0,0.2,0.0,0.0,97.4,0.0,0.0,99.9,91.7,11.4,1.0,1.9,36.2,2.4,4.6,0.0,4.6,3.0,2.6,0.0,0.0,0.0,1.0,1.0,0.0,39.2,0.0,0.1
sementes_frutos_flores,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microcrustaceos,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1,2.5,0.0,0.0,38.7,5.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Ostracoda,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
fragmento_aves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nematodas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arachnida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Conchostraca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0
item_nao_identificado,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
