,Astyanax_bifasciatus,Astyanax_gymnodontus,Astyanax_minor,Bryconamericus_ikaa,Trichomycterus_stawiarski,Corydoras_carlae,Ancistrus_mullerae,Rhamdia_branneri,Rhamdia_voulezi
Algae,0,0,0,0,0,0,9.94,0,0
Ephemeroptera_larvae,6.67,0.07,6.55,33.28,46.59,1.35,0,0.97,0
Trichoptera_larvae,0.72,0.31,0.58,3.16,4.43,0,0,0.08,0
Plecoptera_larvae,0.83,0.21,1.01,7.17,12.54,0,0,0.98,0
Lepidoptera_pupae,8.27,2.25,11.75,4.18,2.38,0,0,2.24,0
Diptera_larvae,0.61,0.86,1.49,11.64,24.59,45.95,0,0.19,6.67
Other_aquatic_insects,6.01,19.03,7.22,22.57,3.08,0,0,1.54,65.96
Aeglidae,24.85,5.5,0,0.09,0,0,0,70.58,0
Other_aquatic_invertebrates,0,13.05,2.32,1.19,0,0,0,0.14,0
peixes,5.47,1.34,2.89,0,0,0,0,0,0
Plant,18.84,28.43,19.24,2.71,2.92,0,0,1.16,27.37
Coleoptera_adult,2.16,0.78,9.65,1.63,0,0,0,0.94,0
Hymenoptera_adult,11.7,6.34,7.23,3.09,0,0,0,0.06,0
Other_terrestrial_insects,11.95,17.81,24.73,7.55,3.24,0,0,18.85,0
Terrestrial_invertebrates,1.83,1.34,3.56,1.25,0,0,0,2.23,0
Detritus_Sediment,0.1,2.69,1.77,0.47,0.22,52.7,90.06,0.06,0
