,Acaronia_nassa,Acestrorhynchus_microlepis,Acestrorhynchus_falcirostris,Ageneiosus_aff_dentatus_sp_1,Ageneiosus_aff_dentatus_sp_2,Ageneiosus_sp_1,Ageneiosus_ucayalensis,Anadoras_weddellii,Anodus_elongatus,Anodus_sp,Astronotus_ocellatus,Auchenipterus_nuchalis,Brycon_carpophagus,Brycon_melanopterus, Calophysus_macropterus, Chaetobranchus_flavescens,Chalceus_macrolepidotus,Cichla_monoculus,Cichlassoma_amazonarum,Colossoma_macropomum,Curimata_cyprinoides,Curimatella_meyeri,Eigenmannina_melanopogon, Electrophorus_electricus, Glyptoperichthys_joselimaianus,Hemiodopsis_microlepis,Hemiodus_immaculatus,Heros_severum,Hoplerythrinus_unitaeniatus,Hoplias_malabaricus,Hoplosternum_littorale, Hydrolycus_scomberoides,Hypophthalmus_edentatus, Hypophthalmus_fimbriatus,Hypophthalmus_cf_marginatus,Hypostomus_plecostomus, Leporinus_friderici,Leporinus_trifasciatus,Loricariichthys_acutus,Lycengraulis_grossidens, Mylossoma_aureum, Mylossoma_duriventre,Osteoglossum_biccirhosum,Parauchenipterus_galeatus,Parauchenipterus_sp_2,Pellona_castelneana, Pellona_flavipinnis,Piaractus_brachypomus,Pimelodus_blochii,Plagioscion_montei, Plagioscion_squamosissimus,Potamorhina_altamazonica,Potamorhina_latior,Prochilodus_nigricans,Psectrogaster_amazonica,Psectrogaster_sp_1,Pseudodoras_niger,Pseudostylosurus_sp,Pterodoras_granulosus,Pygocentrus_nattereri,Rhaphiodon_gibbus,Rhaphiodon_vulpinus,Rhytiodus_argenteofuscus,Rhytiodus_microlepis,Schizodon_fasciatum,Semaprochilodus_theraponura, Serrasalmus_elongatus,Serrasalmus_rhombeus,Serrasalmus_sp_3,Serrasalmus_spilopleura,Sorubim_lima,Sternopygus_macrurus,Triportheus_albus,Triportheus_angulatus,Triportheus_elongatus
Fruit_Flower,0,0,0,0,0,0,0,19,0,0,60,0,63,53,11,0,49,0,0,58.41584158,0,0,0,0,0,7.070707071,0,0,54.45544554,0,0,0,25,0,1.960784314,0,50,89,14,0,81,70.70707071,3.03030303,25.25252525,14,0,0,52,17.17171717,0,0,0,0,13,0,0,30,0,40,2.02020202,0,0,40,2,12.87128713,0,0,0,13.13131313,20.2020202,0,0,0,36.63366337,37
Other_plant_matter,0,0,0,0,0,0,0,24,0,0,0,0,6,7,0,16.83168317,0,0,0,18.81188119,0,0,25,0,0,14.14141414,1.01010101,31,0,2,10,0,0,0,0,0,24,11,0,0,13,4.04040404,18.18181818,10.1010101,10,0,1,22,7.070707071,0,0,5,0,33,0,0,10,0,58,17.17171717,0,0,20,96,79.20792079,20,4.04040404,16.83168317,9.090909091,8.080808081,0,11,0,5.940594059,3
Insect,17,0,1,0,0,83,25,19,0,22,40,77,9,7,11,16.83168317,30,0,0,5.940594059,0,0,8,40,0,14.14141414,90.90909091,15,8.910891089,0,10,0,0,0,32.35294118,0,5,0,43,0,0,4.04040404,54.54545455,46.46464646,41,2.02020202,31,0,39.39393939,14,6.060606061,0,0,0,0,0,0,0,0,7.070707071,0,0,40,0,0.99009901,0,4.04040404,16.83168317,29.29292929,16.16161616,94,66,78,33.66336634,33
 Terrestrial_Invertebrate,0,0,0,0,0,0,0,14,0,0,0,0,9,33,0,0,15,0,0,3.96039604,0,0,0,20,0,0,0,0,6.930693069,0,10,0,0,0,0,0,6,0,0,0,0,6.060606061,4.04040404,8.080808081,7,0,0,13,4.04040404,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2.97029703,0,0,0,0,0,0,0,0,12.87128713,20
Aquatic_Invertebrate,0,0,0,0,0,0,0,24,0,0,0,21,1,0,0,66.33663366,1,0,0,4.95049505,0,9,0,0,0,0,4.04040404,8,0,0,60,0,0,0,0,0,8,0,29,0,6,15.15151515,4.04040404,4.04040404,6,4.04040404,8,9,22.22222222,3,2.02020202,0,0,7,0,0,60,0,2,1.01010101,0,0,0,1,1.98019802,0,0,0,4.04040404,2.02020202,0,9,22,4.95049505,4
Shrimp,0,0,11,67,100,0,75,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,4.04040404,0,1,19.19191919,36,0,4.04040404,43,58.58585859,0,0,0,0,0,0,0,0,1.01010101,0,18,0,0,0,0,0,16.83168317,3.03030303,2.02020202,0,11,0,0,0
Eggs_scales,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1.98019802,0,0,0,0,0,50.50505051,0,15,5.940594059,2,10,0,0,0,0,0,2,0,0,0,0,0,1.01010101,2.02020202,2,0,0,0,2.02020202,0,0,0,0,0,0,0,0,0,0,3.03030303,0,0,0,1,1.98019802,0,4.04040404,0,3.03030303,9.090909091,0,3,0,3.96039604,2
Fish,83,100,88,33,0,17,0,0,0,0,0,2,7,0,78,0,2,74,0,0.99009901,0,0,0,40,0,0,1.01010101,0,23.76237624,92,0,100,0,0,0,0,3,0,0,97,0,0,10.1010101,2.02020202,19,74.74747475,24,0,4.04040404,35,33.33333333,0,0,0,0,0,0,100,0,67.67676768,100,82,0,0,0,0,85.85858586,49.5049505,38.38383838,42.42424242,6,0,0,0.99009901,0
Plankton,0,0,0,0,0,0,0,0,100,78,0,0,1,0,0,0,0,0,0,4.95049505,0,0,67,0,0,7.070707071,0,0,0,0,0,0,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,100,91,0,0,100,7.070707071,3.03030303,31,0,0,0,0,0,0,65.68627451,100,0,0,14,0,0,0,0,2.02020202,0,0,0,4,0,0,0,95,100,47,100,86,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
 Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101,0,0,0,0,0,0,2.02020202,0,0,0,0,0,0,0.99009901,1
