,Astyanax_bockmanni,Bryconamericus_stramineus,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_oiticicai,Corydoras_aeneus,Geophagus_brasiliensis,Gymnotus_carapo,Imparfinis_mirini,Trichomycterus_brasiliensis,Trychomytcerus_sp,Astyanax_altiparanae,Astyanax_paranae,Neoplecostomus_paranensis,Hisonotus_depressicauda,Hypostomus_ancistroides,Phalloceros_sp,Poecillia_reticulata,Pareiorhina_sp,Hoplias_malabaricus,Rhamdia_quelen,Tilapia_rendalli
Algae,0.55,2.97,0.01,0,0,2.67,0.93,0.04,0.04,0.01,0,0.14,0.54,20.14,5.49,5.42,1.41,9.71,15.82,0,0.01,8.67
Adult_insects,0,0,0.1,0.47,0.01,0,0,0.01,0.03,0.04,0,1.98,0.25,0,0,0,0.01,0,0,0,0.05,0
Young_insects,10.24,26.39,25.1,65.67,47.87,9.12,27.88,13.11,19.33,12.59,39.54,31.29,10.1,27.96,0,0.08,0.79,2.68,0.23,0,10.66,0.22
Insect_fragments,41.97,50.08,56.78,28.46,46.44,14.06,8.73,39.43,53.02,62.01,43.89,15.99,26.7,2.27,0,0.01,2.9,9.89,0,0.13,23.47,1.12
Vegetal,6.67,7.08,0.58,0.63,0.12,3.1,7.73,10.33,3.67,3.51,0.03,21.52,36.95,4.02,3.95,6.31,8.41,1.24,2.63,0.33,1.41,72.29
Organic_matter,38.9,12.51,17.28,4.39,5.25,56.9,48.32,34.54,23.18,16.21,14.63,26.25,24.45,20.97,25.22,20.33,49.92,40.11,3.04,0.09,24.56,11.93
Detritus,1.34,0.97,0.15,0.35,0.08,9.24,4.85,1.2,0.01,3.37,1.66,0.35,0.03,24.63,65.44,67.84,36.45,36.35,78.29,0.14,0.5,2.37
Crustacea,0,0,0,0,0,0,0,0.44,0.13,0,0,0.05,0,0,0,0,0.05,0,0,0,23.34,0
Fish,0.17,0,0,0,0,0,0.14,0.2,0,0,0.06,0,0,0,0,0,0,0,0,99.32,6.8,2.47
Nematoda,0.14,0,0.01,0,0,1.39,0.01,0.56,0,0.68,0.2,1.42,0.32,0,0,0,0,0,0,0,0,0
Annelida,0,0,0,0,0,0,0.21,0.07,0.24,1.53,0,0.35,0,0,0,0,0,0,0,0,9.07,0
Other,0.02,0,0,0.01,0.22,3.51,1.2,0.07,0.35,0.05,0,0.66,0.66,0,0,0.02,0.05,0,0,0,0.14,0.93
