,Astyanax_altiparanae,Astyanax_bifasciatus,Astyanax_dissimilis,Astyanax_gymnodontus,Astyanax_minor,Corydoras_paleatus,Crenicichla_iguassuensis,Crenicichla_sp,Cyphocharax_santacatarinae,Geophagus_brasiliensis,Glanidium_ribeiroi,Hoplias_malabaricus,Hypostomus_myersi,Odontesthes_bonariensis,Oligosarcus_longirostris,Pimelodus_britskii,Rhamdia_branneri,Rhamdia_voulezi
Aquatic_Insects,0,0.5,7.5,0.7,5.8,37,43,60,0,17,1,14,6.2,0,0,0.7,7.8,0
Terrestrial_Insects,32,16,47,31,15,0,0,0,0,81,0.3,0,60,0,28,19,3.5,0
Decapods,0,0,0,0,0,0,0,0,23,0,0,0,29,0,0,28,76,0
Crustacean,0,0,0,0,0,0,2.5,0,0,0,0.1,0,0,0,0,0,0,0
Invertebrates,1.1,14,0.2,0,0.4,0,0,40,0,1.8,0,0,0,0,0.9,21,0,0
Microinvertebrates,0,0,0,0,0,0,20,0,0,0,0.7,2,0,0,0,0.2,0,0
Fish,1.1,0,0,0,0,0,0,0,77,0,0,0,0,100,68,21,9.2,100
Fish_scales,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.4,0,0
Aquatic_plants,0.7,42,14,40,59,2.6,0,0,0,0.7,0,0,2.9,0,0,1.3,0.3,0
Terrestrial_plants,64,27,19,26,19,13,4.2,0,0,0.1,0.5,62,1.8,0,3.7,4.8,0.1,0
Algae,0.1,1.3,12,3.3,0.2,30,2.1,0,0,0,2.2,0,0,0,0,0.2,0,0
Sediment,0,0.1,0.3,0,0.6,17,27,0,0,0,95,22,0.1,0,0,2.5,3.3,0
