,Astyanax__fasciatus,Astyanax_paranae,Astyanax_bockmanni,Bryconamericus_iheringi,Bryconamericus_stramineus,Characidium__zebra,Cetopsorhamdia_iheringi,Hypostomus_ancistroides,Hisonotus_sp,Imparfinis_schubarti,Poecilia_reticulata,Rineloricaria_pentamaculata,Rhamdia_quelen,Trichomycterus_sp
Testate_Amoebae,0.09,0.09,0.09,1.1,0,0.2,0,0.09,0,0.09,8.7,0.8,0.09,0.09
Gastropoda,0,0,0,0,0,0.5,0,0,0,0,1.3,0,0.1,0
Acarina,0,0,0.09,0,0,0.3,0,0,0,0,0.09,0,0,0.09
Amphipoda,0,0.09,0,1.4,0.3,2.8,0,0,0,36.3,0.1,0.2,2.9,10.3
Decapoda,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0
Cladocera,0,0.09,0,0,0,0,0,0,0,0,0.09,0,0,0
Conchostraca,0,0,0,0,0,0.09,0,0,0,0,0.3,0.3,0,0
Copepoda,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ostracoda,0,0.09,0.09,0.1,0.09,1.9,0,0,0,0,0,1.1,0.09,0.09
Ephemeroptera,0.5,0.4,0.2,2.7,1.1,31.7,54.3,0,0,3.1,2.4,6.7,0,17.5
Odonata_nymph,0,0.3,0,2.1,0,0,0,0,0,0,0.1,0,0,2.2
Plecoptera,0.2,0.4,0.1,1.1,0,2,0,0,0,0,0.5,0,0,15.4
Immature_Coleoptera,1,2.2,2.6,2.3,0.6,3.2,0,0,0,0,0.2,0.1,0.4,0.9
Trichoptera,1.4,3,0.3,6.1,0.6,35.3,0.7,0,0,12.6,3.7,17.9,0.1,26.4
Immature_Diptera,3.6,1.2,1.9,8,0.4,13.6,8.3,0.09,0,0.09,10.4,10.7,0.8,8.6
Immature_Lepidoptera,2.7,2.8,6.7,10.6,0.2,0,0,0,0,0,0.3,0,0,2.2
Aquatic_insect_remains,0.1,0.8,0.2,8.5,0.1,0.1,27.7,0,0,45.7,0.5,0.09,0.7,3.3
Scales,0.09,0,0,0.1,0,0,0,0,0,0,0,0,0.09,0
Fish,0,0.8,2.8,0,0,0,0,0,0,0,0,0,5.7,0
Algae,0,0,0,0,0,0,0,0.09,1.5,0,1.4,0.3,0,0.09
Oligochaeta,0,0,0,1.9,0,2.3,0,0,0,0,0.09,0,0.3,3
Diplopoda,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0
Araneae,0.2,0.6,0.3,0.8,0.8,0,0,0,0,0,0,0,2.3,0
Hemiptera,0,0.3,0.1,0.5,0.1,0,0,0,0,0,0,0,2.7,0.1
Hymenoptera,6.6,13.3,14.4,9.5,94.5,0,0,0,0,0,0,0,2.2,0.4
Coleoptera,5.9,7,4.6,4.2,0.5,1.3,0,0,0,0,0.7,0,5.8,0.4
Adult_Diptera,1.7,0.4,0.1,0.2,0,0.6,0,0,0,0,0.9,0.09,0,0
Orthoptera,0,0.5,0,0.7,0,0,0,0,0,0,0,0,11.8,0
Terrestrial_insect_remains,24.1,4.6,7.8,6.8,0,0,0,0,0,0,0.1,0,13.7,1.4
Seeds,4.6,5.9,3.4,11.4,0.4,0,0,0,0,0,0.09,0,0.1,1.2
Plant_remains,46.5,55.2,54.5,13.6,0.4,0.7,0.7,0,0,2.3,0.6,0.8,6.5,2.2
Detritus,0.8,0.2,0.09,6.4,0,3.6,8.2,99.9,98.5,0,67.7,61.2,1.9,4.3
