,Axtyanax_bifasciatus,Astyanax_dissimilis,Trichomycterus_sp1,Trichomycterus_sp2,Ancistrus_mullerae,Rhamdia_branneri,Phalloceros_harpagos
Algae,0,0,0,0,0.009973073,0,0.140014001
Nematoda,4.370437044,0,0.089919073,0,0.089757654,0,0
Microcrustaceans,0,0,0,0,0.089757654,0,1.180118012
Aeglidae,0,1.700170017,0.809271656,0,0,33.54664534,0
Fish,0,0,0,0,0,7.309269073,0
Ephemeroptera,0.520052005,0,26.44619842,31.84,0,0.329967003,20.93209321
Odonata,0.520052005,21.70217022,0,0,0,0,0
Trichoptera,0,0,5.235288241,11.18,0,0,1.150115012
Simulidae,0,0,57.23848536,47.68,0,7.829217078,11.71117112
Plecoptera,0,0,0,0.38,0,0,0
Blephariceridae,0,0,4.186232391,0,0,0,0.280028003
Chironomidae,8.920892089,0,1.248876012,3.34,0.089757654,0,13.56135614
Aquatic_insect_others,13.99139914,17.02170217,4.266160456,5.39,0,11.09889011,0.820082008
Plant_remains,33.04330433,10.64106411,0,0,0,30.2869713,0.030003
Araneae,1.920192019,1.910191019,0,0,0,0,1.01010101
Coleoptera,4.720472047,8.940894089,0,0.19,0,1.109889011,0
Hymenoptera,27.62276228,35.53355336,0,0,0,1.95980402,0
Terrestrial_insect_others,4.370437044,2.550255026,0.399640324,0,0,0,0
Oligochaeta,0,0,0,0,0,6.529347065,0
Detritus,0,0,0.079928065,0,99.72075396,0,49.18491849
