,Astyanax_altiparanae,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Rhamdia_quelen,Trichomycterus_sp,Corydoras_aeneus,Crenicichla_britski,Phalloceros_caudimaculatus,Hisonotus_sp,Hypostomus_ancistroides, Hypostomus_nigromaculatus 
Araneae,8.3,11.1,9.1,7.7,0.720906282,0,0,0,0,0,0
Hemiptera,0,0,9.1,0,0,0,0,0,0,0,0
Hymenoptera,25.1,61.1,31.9,7.7,0.720906282,4.3,19,0,0,0,0
Coleoptera,0,0,4.5,0,0,0,0,0,0,0,0
Diptera,8.3,0,0,0,0.720906282,0,0,10.1,0,0,0
Trichoptera,8.3,0,9.1,0,0.720906282,0,0,0.7,0,0,0
Orthoptera,0,0,4.5,0,0,0,0,0,0,0,0
Fragmentos_insetos_terrestres,16.7,0,4.5,0,1.441812564,8.7,0,0,0,0,8.592321755
Bivalvia,0,0,0,0,0,34.8,0,0,0,0,0
Ninfas_Odonata,0,0,0,0,0,0,9.5,0,0,0,0
Larvas_Lepidoptera,0,0,0,0,2.162718847,0,0,0,0,0,0
Larvas_Coleoptera,0,5.6,4.5,0,7.929969104,0,0,0,0,0,0
Larvas_Diptera,0,5.6,4.5,30.8,34.08856849,47.9,33.3,0,0,0,0
Larvas_Trichoptera,16.7,16.6,18.3,30.8,28.32131823,4.3,14.3,0,0,0,0
Ninfas_Ephemeroptera,0,0,0,0,16.6838311,0,0,0,0,0,0
Ninfas_Plecoptera,0,0,0,0,0.720906282,0,0,0,0,0,0
Fragmentos_insetos_aquaticos,0,0,0,0,1.441812564,0,14.3,9.4,0,0,0
Peixes/escamas,0,0,0,0,3.604531411,0,0,2.7,0,0,0
Materia_vegetal,8.3,0,0,7.7,0,0,4.8,15.4,20,0,0
Materia_animal,8.3,0,0,15.3,0.720906282,0,4.8,0,0,0,0
Materia_organica,0,0,0,0,0,0,0,0,16,17.1,20.38391225
Euglenophyceae,0,0,0,0,0,0,0,6.1,0,0,0.914076782
Cyanophyceae_filamentosa,0,0,0,0,0,0,0,15.4,1,0,1.828153565
Bacillariophyceae,0,0,0,0,0,0,0,22.1,43,47.5,36.01462523
Chlorophyta,0,0,0,0,0,0,0,8.7,20,35.4,32.26691042
Copepoda,0,0,0,0,0,0,0,6.1,0,0,0
Cladocera,0,0,0,0,0,0,0,3.3,0,0,0
