,Parheiorina_rudolfi,Trichomycterus_itatiayae,T_immaculatus,Astyanax_scabripinnis,Characidium_alipioi,C_lauroi,A_bimaculatus,G_pantherinus,Imparfinis_minutus,Taunayia_bifasciata
larvas_diptera,0,27.98353909,57.10723192,0.67114094,43.04761905,32.60473588,0,0,21.57894737,0
larvas_trichoptera,0,8.230452675,7.2319202,6.711409396,9.142857143,29.32604736,7.913669065,0,31.75438596,15.2
larvas_coleoptero,0,4.115226337,0,6.040268456,4.19047619,4.007285974,0,0,4.035087719,0
ninfas_odonata,0,0.411522634,3.49127182,0,1.333333333,12.56830601,0,0,4.736842105,0
ninfas_efemeroptera,0,26.74897119,0,2.460850112,20.38095238,4.371584699,0,0,10.87719298,30.4
ninfas_plecoptera,4.712041885,13.99176955,21.44638404,3.131991051,8.19047619,8.925318761,0,0,3.333333333,15.2
insetos_aloctones,0,6.172839506,10.72319202,58.61297539,8.19047619,2.9143898,16.06714628,16.66666667,10.1754386,30.4
insetos_aquaticos,0,0,0,0.67114094,1.904761905,2.367941712,0,0,8.771929825,0
algas,0,1.646090535,0,0,0.952380952,0,0,0,0,0
sedimento,95.28795812,4.938271605,0,0,0,0,0,0,0,0
organismos_aquaticos,0,0,0,0,2.285714286,0,64.02877698,0,0,0
restos_vegetais,0,5.761316872,0,21.70022371,0.380952381,2.9143898,11.99040767,83.33333333,4.736842105,8.8
