,Pariolius_sp,Trichomycterus_sp,Imparfinis_mirini,Cetopsorhamdia_sp,Rhamdia_quelen,Characidium_cf_zebra,Apareiodon_ibitiensis,Bryconamericus_stramineus,Astyanax_sp1,Odontostilbe_microcephala,Apareiodon_piracicabae,Astyanax_altiparanae,Astyanax_sp2,Piabina_argintea,Astyanas_fasciatus,Astyanax_scabripinis_paranae,Bryconamericus_sp
Diptera_larva,3.551912568,48.55233853,43.26923077,34.18803419,2.272727273,20.20997375,10.09615385,10.430839,2.836879433,0,0,0,3.50877193,9.10652921,0,10.23622047,12.79069767
Nymphs_plecoptera,15.30054645,8.240534521,1.153846154,12.82051282,0,9.186351706,0,3.628117914,0,0,0,0,1.754385965,1.718213058,3.614457831,1.57480315,3.488372093
tricoptera_larva,13.93442623,2.89532294,12.30769231,6.623931624,0,14.43569554,1.923076923,4.308390023,6.855791962,0,0,0,3.50877193,2.577319588,0,1.968503937,0
Nymphs_efemeroptera,11.47540984,7.126948775,8.461538462,10.25641026,0,25.98425197,0,10.65759637,8.274231678,0,0,0,0,4.12371134,0,0,0
insects_larva,14.48087432,21.38084633,4.615384615,11.75213675,0,15.22309711,1.923076923,14.96598639,11.11111111,5,0,0,10.77694236,20.6185567,1.927710843,15.5511811,9.302325581
Nymphs_odonata,11.47540984,0,2.692307692,0.641025641,0,5.511811024,0,3.401360544,2.836879433,0,0,0,0,1.030927835,0,2.559055118,0
Crustaceans,0,0,0,0,8.585858586,0.262467192,0,0,0,0,0,0,0,0,0,0,0
algae,0,7.349665924,0.384615385,0,0,0.262467192,22.11538462,1.133786848,19.38534279,5,11.11111111,23.04147465,0,4.12371134,0,0,0
insect_remnants,17.4863388,0.445434298,14.03846154,16.88034188,2.272727273,6.824146982,6.009615385,24.03628118,19.38534279,62.5,0,38.47926267,64.41102757,22.16494845,44.57831325,34.84251969,52.3255814
worm,0,0.445434298,1.730769231,1.068376068,0,0.787401575,0,1.133786848,0,0,0,0,0,1.546391753,0,1.181102362,4.651162791
vegetable_remnants,0,0,2.115384615,4.487179487,6.313131313,0,7.932692308,2.040816327,2.836879433,2.5,0,26.95852535,1.754385965,1.202749141,33.25301205,14.56692913,8.139534884
detritus,0,1.113585746,7.115384615,0.213675214,2.272727273,0.524934383,50,0,2.836879433,20,88.88888889,7.603686636,1.754385965,0.515463918,7.469879518,0.393700787,0
Terrestrial_insect,7.650273224,1.559020045,1.730769231,1.068376068,10.60606061,0.787401575,0,20.63492063,15.36643026,0,0,3.917050691,12.53132832,30.75601375,0,15.15748031,9.302325581
Araneae,0,0.890868597,0.384615385,0,0,0,0,3.174603175,2.836879433,0,0,0,0,0.515463918,0,1.968503937,0
seeds,0,0,0,0,0,0,0,0.453514739,5.437352246,5,0,0,0,0,9.156626506,0,0
Annelids,4.644808743,0,0,0,8.585858586,0,0,0,0,0,0,0,0,0,0,0,0
fish,0,0,0,0,59.09090909,0,0,0,0,0,0,0,0,0,0,0,0
