,Astyanax_altiparanae,Astyanax_bockmanni,Astyanax_aff_paranae,Bryconamericus_stramineus,Characidium_aff_zebra,Corydoras_aeneus,Gymnotus_inaequilabiatus,Hypostomus_ancistroides,Hypostomus_cf_strigaticeps,Imparfinis_mirini,Piabina_argentea,Pimelodella_gracilis,Poecilia_reticulata,Rhamdia_quelen,Rineloricaria_sp
Algae,0,0,0,0,0,0.0999001,0,11.4,0,0,0,0,2.079207921,0,0.3
Testate_amoebae,0,0,0,0,0,51.54845155,0,0.4,1.5,0.2997003,0.199600798,0.0999001,2.871287129,0,0
Conchostraca,0,0,0,0.598802395,0,5.994005994,0,0,0,0.799200799,0,0,0,0,0
Immature_Coleoptera,0,0,0,0,0.2997003,0,3,0,0,0.1998002,1.996007984,0.2997003,0,4.1,0
Immature_Diptera,3.696303696,60.26026026,9.79020979,44.81037924,67.53246753,18.48151848,34.7,0.5,0.2,39.36063936,15.76846307,22.57742258,27.72277228,31,66
Ephemeroptera,0.0999001,6.206206206,0,2.095808383,15.58441558,0.799200799,36.3,0,0,18.58141858,5.089820359,1.398601399,1.584158416,3.8,1.3
Immature_Lepidoptera,0,0,0,3.69261477,0,0,0,0,0,5.294705295,4.590818363,0,0,5.8,5.3
Odonata_nymph,0,0.900900901,0,0,0,0.2997003,3.1,0,0,0,2.49500998,37.76223776,0,8.2,0
Trichoptera,0,0,7.692307692,0.598802395,13.88611389,0.599400599,9.6,0,0,10.68931069,3.393213573,0,0,2.4,12.9
Aquatic_insects_fragments,4.795204795,0.4004004,13.28671329,0,0,0.999000999,0,0,0,0.999000999,10.77844311,0,2.277227723,0.6,0
Other_aquatic_invertebrates,0,12.11211211,0,2.894211577,0.2997003,0.999000999,0,0,0,2.797202797,0.698602794,5.494505495,0.891089109,2.8,0
Fish,0,0,0.599400599,0,0,0,0.1,0,0,0,0,0,0,24.9,0
Vegetal_fragments,4.495504496,7.307307307,58.04195804,0.798403194,1.898101898,0.0999001,0.4,0,0.7,2.397602398,27.64471058,0.799200799,1.188118812,1.3,0
Arachinida,0,7.207207207,0,3.193612774,0,0,0,0,0,0,0,0,0,3.2,0
Coleoptera,34.76523477,0.500500501,0,2.894211577,0,0,0,0,0,0.0999001,9.081836327,0,0,0,0
Adult_Diptera,0,0,0,3.493013972,0,0,0,0,0,0,0.499001996,0,0.99009901,0,0
Hemiptera,0,0,6.093906094,6.087824351,0,0,0,0,0,5.694305694,2.894211577,0,0,0,0
Hymenoptera,37.26273726,5.105105105,0.2997003,14.47105788,0,0,0,0,0,0,10.97804391,2.097902098,0,0,0
Orthoptera,6.793206793,0,0,3.493013972,0,0,0,0,0,0,0.299401198,0,0,0,0
Terrestrial_insects_fragments,2.797202797,0,3.196803197,7.784431138,0,0,9.5,0,0,7.792207792,2.195608782,29.47052947,7.128712871,9.5,0
Detritus,5.294705295,0,0.999000999,3.093812375,0.4995005,20.07992008,3.3,87.7,97.6,4.995004995,1.397205589,0,53.26732673,2.4,14.2
