,Astyanax_scabripinnis,Bryconamericus_iheringii,Geophagus__brasiliensis,Hyphessobrycon__cf_Anisitsi,Phalloceros_caudimaculatus,Poecilia_reticulata,Tilapia__rendalli
Gramineas,0.41,0.21,1.92,0.91,0.16,0,0
Outras_sementes,0,6.37,0,0,0,0,0
Plantas_Aquaticas,1.52,5.68,1.98,5.14,1.74,1.66,15.18
Algas_Filamentosas,1.26,0.18,0.73,0.05,0,0,74.32
Outras_Algas,2.04,0,0,0,0,0,0
Restos_Vegetais,29.88,26.5,9.66,23.77,0.91,0.4,0
Insetos,0,0,0,0,0,0,0
Coleoptera,2.12,0.41,0,1.16,0,0,0
Ephemeroptera,0,0.63,0,0,0,0,0
Hemiptera,0.11,0.09,0,0.07,0,0,0
Hymenoptera,9.33,4.38,0,0.43,0,0,0
Lepidoptera,0,0,0,0,0,0,0
Odonata,0,0.14,0,0.33,0,0,0
Trichoptera,0,0.94,0,0,0,0,0
Ceratopogonidae,0,0.03,0.77,0.41,0,0.76,1.07
Chironomidae,3.86,5.9,2.9,3.61,3.75,1.19,0
Culicidae,0,0,0,0,0,0,0
Muscidae,0.46,0,0,0,0,0,0
Simuliidae,0.46,0.2,0,0,0,0.46,0
Outros_Diptera,7.95,5.66,0.11,1.48,0,0,0
Restos_de_insetos,23.09,15.67,7.67,23.76,3.05,4.76,1.05
Crustaceos,0,0,0,0,0,0,0
Isopoda,0,0,0,0.07,0,0,0
Microcrustaceos,0.33,0,0,0.79,0,0.23,0.02
Peixes,0,0,0,0,0,0,0
Escamas_e_restos,0,1.19,0,0.07,0,0,0
Diversos_Grupos,0,0,0,0,0,0,0
Annelida,0,1.64,0,0,0,0,0.29
Bryozoa,5.03,0.17,12.66,12.38,0.76,0.21,1.7
Diversos_Taxons,3.12,4.81,1.76,0.35,4.12,0.24,0
Testacealobosia,0.04,0,0,0,0.17,0,0
Detritos,5.41,18.84,37.13,16.9,75.09,84.88,6.37
Sedimentos,0.02,0.37,0.83,0,10.25,5.22,0
Restos_organicos,3.57,0,21.89,8.31,0,0,0
