,Hisonotus_sp,Phalloceros_caudimaculatus,Pseudotocinclus_tietensis,Hypostomus_tietensis,Pimelodella_meeki,Geophagus_brasiliensis,Imparfinis_piperatus,Cetopsorhamdia_iheringi,Astyanax_paranae,Trichomycterus_sp,Gymnotus_pantherinus,Characidium_cf_lagosantense, Characidium_oiticicai, Characidium_zebra, Oligosarcus_paranensis
Algae,0.4995005,4.9,5.9,2.397602398,1.701701702,0,0,0.019996001,0.8,0,0,0,0,0,0.030042059
Young_insects,0.3996004,0,1,0.799200799,0,0,4,2.099580084,0.1,0,0.4,7.9,9.8,21.3,0
Adult_insects,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
 Crustacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700981374
 Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.34808732
Insect_fragments,0.599400599,1.6,1.6,0,7.107107107,17.7,72,48.69026195,71.4,64.7,45.2,78.9,75.3,60.5,47.16603245
Vegetal_matter,2.397602398,13.2,3.4,7.492507493,0,15.2,1.5,3.799240152,4,2.3,16.9,3.5,0.3,2.8,7.810935309
Organic_matter,25.37462537,27.3,22.5,9.59040959,4.704704705,49.4,22,35.59288142,23.6,30.6,36.8,7,14.1,11.2,9.913879431
Detritus,70.72927073,53,65.6,79.72027972,86.48648649,17.7,0.2,9.598080384,0.1,2.4,0.7,2.6,0.5,4,0.030042059
Other,0,0,0,0,0,0,0,0.199960008,0,0,0,0.1,0,0.2,0
