,Acestrocephalus_sardina,Acestrorhynchus_cf_grandoculis,Acestrorhynchus_microlepis,Ageneiosus_apiaka,Ageneiosus_inermis,Ageneiosus_sp,Agoniates_halecinus,Aphanotorulus_emarginatus,Auchenipterus_nuchalis,Bivibranchia_notata,Boulengerella_cuvieri,Brycon_aff_pesu,Brycon_falcatus,Brycon_pesu,Bryconops_alburnoides,Bryconops_collettei,Caenotropus_labyrinthicus,Chalceus_epakros,Cichla_pinima,Crenicichla_aff_lugubris,Crenicichla_lugubris,Cynodon_septenarius,Cyphocharax_aff_stilbolepis,Electrophorus_electricus,Geophagus_aff_altifrons,Hemiodus_aff_semitaeniatus,Hemiodus_argenteus,Hemiodus_cf_gracilis,Hemiodus_semitaeniatus,Hemiodus_unimaculatus,Hydrolycus_armatus,Hydrolycus_tatauaia,Hypoptopoma_cf_gulare,Hypostomus_aff_pyrineusi,Jupiaba_polylepis,Jupiaba_sp,Laemolyta_proxima,Leporinus_friderici,Leporinus_sp,Moenkhausia_aff_oligolepis,Moenkhausia_cf_lepidura,Moenkhausia_grandisquamis,Moenkhausia_megalops,Moenkhausia_sp_a,Moenkhausia_sp_b,Mylesinus_cf_paucisquamatus,Myleus_setiger,Myloplus_asterias,Myloplus_rubripinnis,Myloplus_schomburgki,Myloplus_torquatus,Plagioscions_quamosissimus,Prochilodus_nigricans,Psectrogaster_essequibensis,Pterodoras_granulosus,Roeboides_aff_descalvadensis,Serrasalmus_aff_serrulatus,Serrasalmus_eigenmanni,Serrasalmus_manueli,Serrasalmus_rhombeus,Tetragonopterus_chalceus,Tetragonopterus_aff_georgiae,Tocantinsia_piresi,Tometes_sp,Triportheus_albus,Utiaritichthys_sp
Terrestrial_insects,0,0,0.009999,0.81714001,0,17.67,13.21,0,17.23,0,0.08984726,66.70663469,0,47.76402476,38.83,95,0,51.57,0,0,0,0,0,0,0.789921008,0,0,0,0,0.180018002,0,0.019998,0,0,0,40,0,0,0,0,45.86,6.19,1.88,0,1,4.53,1.509849015,0,0.569544365,0,0.83924468,0,0,0,0,0,0,0,0.549945005,0.04,1.138861139,45.29,2.637626136,5.340534053,36.44719752,1.500150015
Terrestrial_invertebrates,0,0,0,0.089686099,0,0,0,0.449955004,0,5,0,0.129896083,0,0.039928129,0.03,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019982016,0
Vascular_Plants,0,0,0.739926007,0.009965122,0,0,0,0,0,0,0,5.845323741,94.2,37.27290876,0.63,0,0.13,5.65,0,0,0,0,5.88,0,0.099990001,0,0,0,0.029997,0.450045005,0,0.009999,0,0,0,0,0,0,0,0,0,0.1,5.01,0,0,0,72.53274673,98.92,95.30375699,42.73427343,88.50034969,0,0,2.97029703,80,0,0,90.91,2.819718028,0.57,0.28971029,0,81.45668898,4.02040204,17.66410231,15.57155716
Algae,0,0,0,0.089686099,0,0,0,44.37556244,0,10.1,0,0,0,0.089838291,0,0,3.92,0,0,0,0,0,0.83,0,0.249975002,11.2,20.1379862,80,66.13338666,21.09210921,0,0,67,11,0,0,30,2.82,27,0,0,0,21.28,0,0,0,1.279872013,0,0,0.240024002,0.119892097,0,24.98,0,0,0,0,0,0,0,0.08991009,0,0,0,0,3.440344034
Aquatic_insects,0,0,0.259974003,62.31190832,100,55.41,3.61,2.689731027,81.78,20,0.08984726,8.723021583,0.38,5.490117788,60.13,5,32.61,3.5,0,0,0,0,0,0,34.65653435,9.06,19.38806119,0,0.109989001,7.230723072,0.009999,0.659934007,0,40,95.03,0,70,5.63,10,0,54.14,74.6,71.05,70.59,84,1.7,11.32886711,0,0.259792166,12.91129113,0.509541413,0,17.41,0,0,8.17,0,0,3.01969803,0.16,89.15084915,54.71,0.83924468,1.920192019,42.07213508,1.530153015
Aquatic_invertebrates,0,0,0,0.009965122,0,0,0,30.97690231,0.66,22,0,0.089928058,0,0,0.01,0,59.55,0,0,0,0,0,41.35,0,38.07619238,2.64,12.11878812,10,5.089491051,1.95019502,0,0,33,49,0,0,0,4.23,6,0,0,0,0.65,0,0,0,0,0,0,0.050005001,0.019982016,0,20.1,2.160216022,0,0,0,0,0.109989001,0,1.038961039,0,0.009991008,1.390139014,0,0.060006001
Fish,100,5,98.95010499,36.44245142,0,26.89,83.18,0,0.14,0,99.82030548,13.10951239,5.42,1.127969655,0.07,0,0,0,100,100,100,100,5.21,100,3.609639036,0,0,0,0.059994001,0,99.960004,99.31006899,0,0,1.66,0,0,0,0,100,0,2.58,0,0,0,0,0.129987001,0,0.089928058,1.930193019,0.429613348,99.98,0,0,0,91.79,98.9,9.09,87.88121188,99.05,4.685314685,0,7.49325607,0,1.328804076,0.490049005
Detritus,0,0,0,0.039860488,0,0,0,20.4279572,0,42.4,0,0,0,0,0,0,0,0,0,0,0,0,46.61,0,9.929007099,15.24,26.76732327,0,10.0789921,32.04320432,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0.019982016,0,1.99,91.89918992,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified_insects,0,95,0.039996,0.089686099,0,0,0,0.179982002,0,0,0,1.328936851,0,0.499101617,0.12,0,0.32,5.94,0,0,0,0,0.06,0,0.009999,0,0,0,0.859914009,4.700470047,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.139986001,1.08,0,2.410241024,0.089919073,0,0,2.97029703,0,0.01,0,0,0,0,0,0,0.089919073,0,0.089919073,0
Others,0,0,0,0.009965122,0,0,0,0,0,0.5,0,0.329736211,0,0.089838291,0.02,0,3.31,0,0,0,0,0,0,0,1.069893011,0.08,7.469253075,0,0.059994001,0,0.029997,0,0,0,0,0,0,0,0,0,0,0.06,0.13,0,0,2.45,0.299970003,0,0.029976019,0.160016002,0.009991008,0,0,0,0,0,0,0,0.579942006,0,1.728271728,0,0,0,0.009991008,0
Other_plants,0,0,0,0.089686099,0,0.03,0,0.899910009,0.19,0,0,3.737010392,0,7.626272709,0.16,0,0,33.34,0,0,0,0,0.06,0,11.50884912,61.78,14.11858814,10,17.57824218,32.35323532,0,0,0,0,3.31,60,0,87.32,5,0,0,16.45,0,29.41,15,91.32,12.73872613,0,3.747002398,39.5639564,9.461484664,0.02,35.52,0,20,0.03,1.1,0,5.03949605,0.18,1.878121878,0,7.473274053,87.32873287,2.367868918,77.40774077
