,Astyanax_jacuhiensis,Astyanax_laticeps,Astyanax_obscurus,Astyanax_procerus,Astyanax_xiru,Bryconamericus_iheringii,Diapoma_alburnus,Diapoma_dicropotamicus,Bryconamericus_sp,Oligosarcus_jacuiensis,Oligosarcus_jenynsii
Chironomidae,0,0.1,0,0.2,0.09,0.6,2.1,2,3.2,0,0
Simuliidae,0.6,0,0.8,1.1,0.8,1.3,4.1,3.9,5.3,0.09,0
Ceratopogonidae,0,0,0,0,0,0.09,0.3,0.3,0,0,0
Psychodidae,0.09,0,0,0.09,0.2,0.09,0,0,0.09,0,0
Empididae,0.2,0,0,0,0,0.1,0,0,0.2,0,0
Stratiomydae,0,0,0,0,0,0.09,0,0,0,0,0
Sarcophagidae,0,0,0,1,8.5,0,0,0,0,0,0
Tabanidae,0,0,0,0.09,0,0.09,0.8,0.8,0,0,0
Tipulidae,0,0,0,0,0.09,0.09,0,0,0,0,0
Diptera_pupae,0.5,0,0.5,0.2,0.1,0.3,2.3,3.2,0.2,0,0
Trichoptera,0.1,0,1.2,1.3,0.2,5.5,8,7.7,10.6,0,0
Ephemeroptera,1.3,28.6,0,1.9,1.3,4,39.7,37.9,48.5,1.3,4.1
Plecoptera,0,0,0,0.1,0.7,1.1,1.2,1.2,3.3,0,0
Simuliidae_pupae,0,0,0,0.09,0.09,0.1,0.09,0.09,0.1,0,0
Trchoptera_pupae,0,0,0,0.2,0,0,0.2,0.2,0.3,0,0
Odonata_nymph,0,0,0,0.6,0,2.2,2,1.9,1.2,0,0
Aquatic_Coleoptera_larvae,2.3,0,2.1,0.5,0.5,1.2,1.3,1.2,0.7,0,0
Terrestrial_Lepidoptera_larvae,1.7,0,0,0.3,0,0,0,0,0,0,0
Aquatic_Lepidoptera_larvae,0,0,0,0.6,0.2,1.7,0,0,12.7,0,0
Lepidoptera,0,0,0,0,0,0.3,0,0,0,0,0
Aquatic_ insects_remains,1.2,14.3,2.5,4.7,1.1,12,11.3,10.8,5.7,0.09,0
Adult_Diptera,0,0,0,0.4,0,0.6,1.2,1.1,0,0,0
Adult_Orthoptera,0,0,0.8,0.3,0.1,0.09,0,0,0,0,0
Aquatic_adult_Hemiptera,0,0,0.1,0,0,0.4,0,0,0,0,0
Terrestrial_adult_Hemiptera,0.1,0,0.4,0.09,0.7,0.2,0,0,0,0.2,0
Adult_Hymenoptera,8,0,26,15,4.1,1.7,7.5,9.7,0.4,3,0.6
Adult_Coleoptera,9.6,0,4.1,4.5,0.6,1.7,2.9,2.8,0.5,11.7,0
Adult_Lepdoptera,3.5,0,19.8,0.8,0,0.3,0.4,0.4,0,0,0
Adult_Odonata,0,0,0.5,0,0,0.09,0,0,0,0.5,0
Adult_Plecoptera,0,0,0,0,0,0,0,0,0,5.6,0
Terrestrial_insects_remains,2.9,14.3,5.3,6.5,2.5,1.1,6.2,6.8,1.8,0,2.9
Aranae,3.4,0,0.6,0.9,0,0.4,0.2,0.2,0,0,0
Megaloptera,0,0,0,0,0,0.1,0.4,0.4,0,0,0
Diplopoda,0.4,0,0,0,0,0,0,0,0,0,0
Aegla_sp,9.7,0,22.4,0.09,0,0.2,0,0,0,16.9,0
Bivalvia,0,0,0,0,0,0.09,0,0,0,0,0
Gastropoda,0,0,0,0.5,0,0.6,0,0,0.1,0,0
Oligochaeta,2.2,0,0,6.3,0,2.9,0.8,0.8,0.4,0,0
Microcrustacea,0,0,0,0.09,0.2,0.2,0,0,0,0.1,0
Acari,0,0,0,0.09,0.09,0.09,0.09,0.09,0,0,1
Terrestrial_plants,36.3,21.4,12,21.9,39.3,13.7,1.7,1.6,2.6,0,12
Aquatic_plants,0,21.4,0.1,19.7,34.2,8.7,5.2,4.9,0,0,0
Diatomacea_algae,0,0,0,0,0,0.3,0,0,0.09,0,0
Filamentous_algae,0,0,0.1,2.3,0.8,7.1,0,0,0.4,0,0
Sediment,0,0,0,0.1,0,0.8,0,0,0.4,0,0
Undetermined_organic_matter,0,0,0,3.9,3.8,7.3,0,0,0.3,0,0
Vegetal_organic_matter,0,0,0.5,2.4,0,1.7,0,0,0.7,0,0
Animal_organic_matter,0,0,0,0.2,0,0.9,0,0,0.4,0,0
Testae_Amoebae,0,0,0,0,0,0.09,0,0,0,0,0
Detritus,0,0,0,0.2,0,16.4,0,0,0,0,0
Scale,0,0,0,0.09,0,0.1,0,0,0,0,0
Nematoda,0,0,0,0.6,0,0,0,0,0.1,0,0
Fur,0,0,0,0,0.09,0.09,0,0,0,0,0
Fish,15.9,0,0,0,0.1,1,0,0,0,60.1,79.4
Aquatic_Isopoda,0,0,0,0.3,0,0.7,0,0,0,0.5,0
Homoptera,0,0,0,0.3,0,0.3,0,0,0,0,0
Neuroptera,0,0,0,0,0,0.09,0,0,0,0,0
Pollen,0,0,0,0,0,0.1,0,0,0,0,0
