,Deuterodon_iguape,Mimagoniates_microlepis,Phalloceros_harpagos,Hollandichthys_multifasciatus,Characidium_lanei,Pseudotothyris_obtusa,Acentronichthys_leptos,Rhamdia_quelen,Awaous_tajasica,Schizolecis_guntheri,Gymnotus_pantherinus,Hyphessobrycon_griemi,Atlantirivulus_santensis,Characidium_schubarti,Hyphessobrycon_reticulatus,Kronichthys_heylandi,Geophagus_brasiliensis,Eleotris_pisonis,Scleromystax_macropterus,Dormitator_maculatus
Actinopterygii,0,0,0,0.14,0,0,0,10.33,0,0,0.01,0,0,0,0,0,0,0,0,0
Amphibia,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annelida,0.05,0,0,0.004,0,0,3.27,44.82,0.25,0,10.96,0,0,0,0,0,0,0,0,0
Arachnida,0.040003,0.28005,0,0.520003,0.0014,0,0.15,0.03,0,0,0,0,0.97,0,0,0,0,0,0,0
Bryozoa,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilopoda,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collembola,0.0002,0.05,0,0.0001,0,0,0.01,0,0,0,0,0.05,0,0,0.01,0,0,0,0,0
Crustacea,0.2202,0.101,0,1.7505,0.1,0.004,5.76,12.35,0.63,0,9.181,0,1.18,1.43,0,0,22.32,93.1,0,0
Detritus_Organic_matter,25.97,0,99.999,0.65,0,98.53,0,0,8.88,93.55,0,0,0,0.001,0,94.61,0.4,0,0,96.77
Diplopoda,0.08,0,0,0.02,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0,0
Indeterminate,0.01,0.00001,0,0.000001,0,0,0,0,0,0,0.07,0,0.46,0,0,0,0,0,0,0
Insecta,41.38,99.54,0.001,96.27,99.93,0.01,90.74,21.13,89.93,0,79.03,99.77,97.39,98.56,93.6,0,77.06,6.9,99.82,3.23
Mollusca,0.0001,0.001,0,0,0.003,0,0.02,0.0001,0.18,0,0,0,0,0,0,0,0.04,0,0,0
Nematoda,0.0001,0.00023,0,0.006,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0
Periphyton,1.78,0,0,0,0,1.46,0,0,0.02,6.45,0,0,0,0.001,0,5.39,0,0,0.18,0
Vegetal_matter,30.47,0.03,0,0.62,0.01,0,0.003,0.0605,0.11,0,0.75,0.17,0,0,6.38,0,0.18,0,0,0
