,Roeboides_paranensies,Serrasalmus_marginatus,Rhamdia_sp,Hoplias_malabaricus,Impafinis_mirini,Crenicicha_lepidota,Imparfinis_sp,Pimellodela_lateristriga,Moenkausia_sanctae_filomenae,Pyrrhulina_australis,Eigenmania_trilineata,Hyphessobrycon_callistus,Sternopygus_macrurus,Crenicicha_sp,Corydoras_aeneus,Characidium_sp,Astyanax_bimaculatus,Leporinus_obtusidens,Hemigrammus_marginatus,Bryconamericus_stramineus,Gymnotus_carapo,Moenkausia_intermedia,Aphyocharax_difficilis,Microlepidogaster_cf_depressinotus,Hypostomus_aff_derbyi,Hypostomus_tietensis,Characidium_fasciatum,Satanoperca_pappaterra,Loricariichthys_platymetopon,Hypostomus_sp,Chrirodon_notomelas
Algas_filamentosas,0.398,0,0,0,0,0,0,0,0,0,1.132,5.109,0,0,0.174,0,6.673,0,0,0,0,0.022,0,0.195,0,0,0,0,0.798,0,57.567
Doatomaceas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.779,0.014,0.151,0,0,0.505,1.469,0.263
Tecameba,0,0,0,0,0,0,0,0,0,0,5.435,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,11.351,0.233,0,0.004
Estatoblasto,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nematoda,0,0,0,0,0,0.19,0,0,0,0,2.564,0.03,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,1.026,0,0
Hirodinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
Gastropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0
Bivalva,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
Microcrustaceo,0,0,0,0,0,16.746,0,0,0.338,2.083,0.266,0.941,0.001,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,5.676,0.05,0,0.023
Camarao,0,0,0,0,0,0,0,0,0,0,0,0,3.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pupa_diptera,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,1.303,0,0,0,0,0,0.014,0,3.391,0,0,0,0,0,0.572,0,1.279
Chironomidae,0,0,0,0,75,0,12.593,0,16.892,12.5,16.068,17.034,3.21,0,2.259,0,0.012,0,3.077,38.462,23.668,23.558,1.32,0,0.017,0.001,60,0,0.26,0,3.938
Ceratopogonidae,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.01,0,0
Ephemeroptera,0,0,0.438,0,0,0,0,0,0,2.083,1.662,0.057,0.048,0,0,0,0,0,0,0,3.138,0,0,0,0,0,0,0,0,0,0
Hemiptera_aquatica,0,0,0,0,0,3.901,0,0,0,0,0,0.473,0.03,18.872,0,0,0.015,0,0,0,0.008,0.916,0.346,0,0,0,0,0,0,0,0
Odonada_ninfa,0,0,0,0,0,5.043,4.134,0,0,0,0,0,3.845,0,0,0,0.001,0,0,0,0.067,0,11.395,0,0,0,5,0,0,0,0
Trichoptera,0,0,0.657,0,0,61.941,64.369,0,0,0,30.486,0.906,40.911,0,15.639,0,0.147,0,0,0,0.455,1.149,0.886,0,0,0,0,2.838,0,0,0
Hymenoptera,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0.937,0,0,0,0.029,8.476,0,0,0,0,0,0,0,0,0
Collembola,0,0,0,0,0,0,0,0,0,1.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleoptera,0,0,0.876,0,0,0,0.225,0,0,0,0,0.394,0.276,0,0,0,0.103,0,0,0,1.727,6.869,0.259,0,0,0,0,0,0,0,0
Resto_inseto,0,0,2.942,0,0,6.66,3.195,44.444,81.081,4.167,3.903,6.871,0.217,0,0,0,7.061,0,5.769,0,17.235,25.823,23.199,0,0,0,0,0,0.057,0,0.058
Ácaro,0,0,0,0,0,0,0,0,0,7.188,0.725,4.942,0,0,0,0,0,0,0,0,0.03,0,0.003,0,0,0,15,0,0,0,0.019
Aracnideo,0,0,0,0,0,0.951,1.294,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peixes,99.602,100,73.11,63.545,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
Resto_vegetal,0,0,21.977,36.455,0,2.854,5.342,0,1.689,8.958,1.918,0.338,4.139,14.154,0.348,0,84.878,100,61.538,38.462,24.19,32.037,28.458,0.292,1.506,30.726,0,12.568,38.769,5.568,11.317
Detrito_organico,0,0,0,0,25,1.713,8.256,14.444,0,49.375,35.007,48.125,43.418,64.615,35.709,100,0.07,0,29.615,23.077,27.079,0,30.571,42.478,43.961,22.487,0,27.027,29.092,3.883,23.214
Sedimento,0,0,0,0,0,0,0.592,7.778,0,12.609,0.799,14.78,0.028,2.359,44.568,0,0.07,0,0,0,2.208,1.149,0.171,55.257,54.499,46.633,20,40.541,28.627,89.08,2.318
