,Leporinus_copelandii,Geophagus_brasiliensis,Astyanax_lacustris,Australoheros_capixaba,Astyanax_intermedius,Hyphessobrycon_bifasciatus,Poecilia_vivipara
Anisoptera,0.001916,0,0,0,0,0,0
Notonectidae,0.000958,0,0,0,0,0,0
Coleoptera,0,0,0.011817,0,0,0,0
Elmidae,0.001916,0,0,0,0,0,0
Psephenidae,0,0,0,0,0.001899,0,0
Lepidoptera,0,0,0.008863,0,0,0,0
Calliphoridae,0,0,0,0,0.001425,0,0
Ceratopogonidae,0.001256,0,0.011396,0,0,0.00202,0
Chironomidae,0.17433,0.128925,0.052438,0.012121,0.179487,0.00758,0
Empididae,0.005747,0,0.001108,0,0.001425,0,0
Frag_Diptera,0,0,0,0,0.003799,0,0
Psychodidae,0,0,0,0,0.00095,0,0
Pulpa_Diptera,0,0,0.009971,0,0.006648,0,0
Formicidae,0,0,0.00517,0,0.018044,0,0
Ephemeroptera,0.126437,0.002512,0,0,0,0.007074,0
Casa_Trichoptera,0.011494,0.004186,0,0,0,0,0
Hydroptilidae,0.000958,0,0,0,0,0,0
Leptoceridae,0,0.00293,0,0,0,0,0
Acari,0,0.003767,0.000369,0.00303,0,0,0
Araneae,0,0,0.003693,0,0.005698,0,0
Hydrachnidae,0,0.000837,0,0.00303,0,0,0
Cladocera,0,0,0,0.00303,0,0,0
Bivalvia,0,0.072834,0,0,0,0,0
Gastropoda,0,0.609045,0,0.024242,0,0,0
Nematoda,0,0.000419,0.001846,0,0.007597,0.001011,0
Escama_Peixes,0.001916,0.015069,0,0,0,0,0
Fragmento_algas,0.42912,0,0,0,0.011396,0.970185,0.907979
Fragmentos_inseto,0.235633,0.046882,0.904732,0.784847,0.740741,0.006064,0
Fragmentos_vegetal,0.009579,0.111344,0,0.163636,0.009497,0.006064,0.092025
Linha_de_rede,0,0,0,0.006061,0,0,0
