,Astyanax_altiparanae,Astyanax_fasciatus,Corydoras_aeneus,Geophagus_brasiliensis,Gymnotus_carapo,Hoplias_malabaricus,Hypostomus_ancistroides,Oligosarcus_pintoi,Phalloceros_harpagos,Piabinaargentea,Poecilia_reticulata,Rhamdia_quelen
Algae,2.714748784,10.00149948,2.125622367,4.305757136,0,0,3.977591036,0,4.997748762,0,6.072727273,0
Testate_amoeba,0,0,12.77288395,2.144815352,0,0,3.977591036,0,0,1.408450704,0,0
Nemathelmintes,0,0,0,0,1.339732054,0,0,0,0,0,0,0
Gastropoda,2.714748784,0,0,9.675858732,0,0,0,3.511171911,0,2.816901408,0,4.554131443
Bivalvia,0,0,0,0,1.339732054,0,0,0,0,0.704225352,0,0
Crustacea,0,0,4.251244734,0,0,0,0,0,0,0.704225352,0,0
Ephemeroptera_nymphs,0,10.00149948,0,7.53104338,6.658668266,33.33333333,0,8.777929777,4.997748762,14.08450704,3.018181818,13.63512408
Odonata_nymphs,0,2.504123557,0,1.080470892,7.99840032,0,0,1.755585955,0,0,0,0
Hemiptera,0,2.504123557,14.89850632,8.595387841,3.99920016,0,0,0,0,0,0,0
Trichoptera_larvae,5.38897893,2.504123557,4.251244734,6.450572488,6.658668266,0,0,1.755585955,0,2.112676056,0,15.89855468
Coleoptera_larvae,2.714748784,2.504123557,0,2.144815352,7.99840032,0,0,0,0,7.042253521,0,0
Ceratopogonidae_larvae,2.714748784,7.497375918,12.77288395,9.675858732,5.338932214,0,0,7.022343821,9.995497524,12.67605634,3.018181818,6.81756204
Simuliidae_larvae,0,10.00149948,4.251244734,2.144815352,0,0,0,10.53351573,4.997748762,5.633802817,0,0
Chironomidae_larvae,0,0,0,0,1.339732054,0,0,0,0,0,0,0
Diptera_larvae,5.38897893,0,0,3.225286244,6.658668266,0,0,0,0,0,0,0
Diptera_pupae,0,14.99475184,4.251244734,7.53104338,1.339732054,0,0,8.777929777,0,6.338028169,0,9.080992637
Aquatic_insect_debris,18.92220421,14.99475184,4.251244734,10.75632962,13.33733253,0,0,17.53305974,14.99324629,17.6056338,18.18181818,25.00681756
Aquatic_Acari,0,0,0,2.144815352,0,0,0,0,4.997748762,0,0,0
Fish,0,0,0,0,0,33.33333333,0,0,0,0,0,0
Vegetal_debris,37.80388979,14.99475184,14.89850632,0,0,0,36.02240896,15.77747378,4.997748762,16.90140845,36.36363636,0
Araneae,0,0,0,1.080470892,9.338132374,0,0,3.511171911,0,0,0,0
Hymenoptera,2.714748784,0,0,1.080470892,0,0,0,0,0,0,0,0
Odonata,0,0,2.125622367,0,0,0,0,0,0,0,0,0
Coleoptera,2.714748784,0,0,2.144815352,2.659468106,0,0,0,0,0,0,0
Formicidae,5.38897893,0,0,1.080470892,1.339732054,0,0,0,0,0.704225352,0,0
Adult_diptera,10.8184765,2.504123557,0,0,2.659468106,0,0,0,0,0,0,0
Terrestrial_insect_debris,0,0,0,1.080470892,0,0,0,0,0,0,0,0
Detritus,0,4.993252362,2.125622367,15.04596033,19.9960008,33.33333333,56.02240896,21.04423165,45.02476362,11.26760563,33.34545455,25.00681756
Fine_organic_matter,0,0,17.02412869,1.080470892,0,0,0,0,4.997748762,0,0,0
