,Mimagoniates_microlepis,Deuterodon_iguape,Kronichthys_heylandi,Characidium_sp,Phalloceros_caudimaculatus,Schizolecis_guentheri,Rhamdia_quelen,Acentronichthys_leptos,Trichomyceterus_sp,Hollandichthys_multifasciatus,Gymnotus_pantherinus,Corydoras_barbatus,Rineloricaria_sp,Imparfinis_piperatus
Unicellular_algae,0.04,1.02,5.94,0.01,3.71,5.16,0,0,0,0,0,0.23,2.89,0
Filamentous_algae,0.01,3.6,3.62,0,0.91,1.7,0,0,0,0,0,0,31.61,0
Adult_insects,0.5,1.88,0,0.22,0,0,0,0,0.55,52.08,0.25,6.07,7.23,18.99
Insect_larvae,1.29,0.28,0.01,24.26,0,0,0,43.06,7.2,23.25,25.64,0,0.41,12.45
Insect_parts,79.23,29.62,0,69.81,1.1,0.01,0,48.2,74.53,0,19.58,12.14,0,4.22
Vegetal_matter,0.05,49.5,0.63,0.96,0.12,0.49,0,4.43,0.04,0,0,0,0,0
Organic_matter,18.45,13.04,71.88,3.49,90.03,82.31,10,1.48,17.21,22.78,51.53,56.33,57.84,3.59
Sediment,0.02,0.03,2.56,0.07,0.57,2.8,0,0,0.31,0,0,0,0,0
Sand,0.03,0.03,15.8,0.4,3.54,7.52,0,0.92,0.15,2.09,1.71,18.98,0,0
Crustacea,0.02,0,0,0,0,0,10,1.29,0,0,0,0.04,0,60.76
Other,0.38,1.03,0.09,0.79,0,0,0,0.77,0.01,0,1.27,6.22,0,0
Fishes,0,0,0,0,0,0,80,0,0,0,0,0,0,0
