,Exallodontus_aguanai,Pimelodus_blochii,Pimelodina_flavipinnis,Pimelodus_sp,Mastiglanis_asopos,Hemidoras_morrisi,Hemidoras_stenopeltis,Ossancora_fimbriata,Pterodoras_granulosus,Trachydoras_nattereri,Trachydoras_sp,Trachydoras_steindachneri,Tympanopleura_brevis,Adontosternarchus_balaenops,Adontosternarchus_clarkae,Adontosternarchus_duartei,Adontosternarchus_nebulosus,Apteronotus_bonapartii,Compsaraia_cf_compsa,Sternarchella_calhamazon,Sternarchella_schotti,Sternarchogiton_nattereri,Sternarchorhamphus_muelleri,Distocyclus_conirostris,Eigenmannia_macrops,Rhabdolichops_cf_eastwardi,Rhabdolichops_electrogrammus,Steatogenys_elegans
Diptera,2.8,12.88,4.49,3.26,28.91,48.58,6.16,1.02,1.05,41.32,28.94,20.37,25.8,20.34,22.93,56.64,38.61,27.38,54.8,54.43,11.09,11.27,91.3,73.05,38.88,8.24,26.72,54.48
Ephemeroptera,0.66,3.36,0.12,1.56,10.85,0,2.02,3.32,4.48,0,0.05,0.05,4.79,6.13,0,0.22,0,45.25,10.02,9.82,0.1,0.97,1.99,2.21,35.33,0.7,0,2.23
Trichoptera,3.44,0,1.74,5.6,13.37,2.08,1.41,0,0,0.47,5.35,1.07,0,0,2.77,3.16,26.99,9.94,13.68,1.17,0.32,26.78,0,0,9.15,0,2.59,5.4
Other_aquatic_insects,0.56,0,0,1.48,0,0.02,0,0,0.27,0,0,0.16,0.03,1.65,0.22,2.44,0.35,0,0.02,2.85,0.96,0.34,0.11,0,0.11,6.34,0.32,2.21
Semi_aquatic_insects,2.66,0,0,0.3,0,0.01,0.49,0.21,0,0,0.44,2.35,0,0,0.01,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Terrestrial_insects,0.74,0,0,0,0,0.01,0,0,0.52,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.17
Ostracoda,0.32,0,2.93,0.02,0,15.6,6.82,1.37,0.02,0.11,20.23,27.9,0.01,0.16,5.73,0.24,0.07,0.4,3.15,1.42,0.16,0.33,0.17,0.55,4.14,6.6,1.89,0.17
Conchostraca,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.01,0,0.09,0,0,0,0,0,0.34
Cladocera,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0
Other_benthic_microcrustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.04,0.13,0
Macrocrustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Zooplankton,0,81.81,0.01,0.07,21.51,1.04,2.24,5.82,0,2.81,0.36,0.01,53.94,21.74,2.82,1.99,2.24,0,6.77,13.88,0.22,1.82,0,16.74,7.68,76.44,60.61,1.46
Plant_matter,44.83,1.95,72.26,65.96,0.61,13.42,54.06,41.29,73.17,17.49,27.36,28.68,0.68,44.62,48.7,30.24,31.75,4.05,1.07,2.28,60.1,35.34,4.89,1.53,1.13,1.64,7.68,18.63
Periphytic_algae,0,0,0,0,0,0,0.06,0.34,0.27,0.15,0.06,0.12,0,0,0.15,0,0,0,0,0,0,0.17,0,0,0,0,0,0
Detritus,38.82,0,17.24,16.13,21.51,18.98,26.47,46.62,16.85,35.55,16.9,19.17,0.59,5.3,15.68,2.65,0,0.07,9.99,5.55,0,22.77,1.55,5.91,0,0,0,14.73
Fish,5.03,0,1.05,2.64,0,0,0.01,0,3.3,0,0.06,0.12,2.79,0,0,0,0,0.07,0,3.72,27.05,0.05,0,0,0,0,0,0.17
Other_invertebrates,0.13,0,0.16,2.98,3.24,0.1,0.26,0,0.07,2.11,0.25,0,11.37,0,0.95,2.42,0,12.84,0.29,4.86,0,0.06,0,0,3.25,0,0.06,0
