,Astyanaxaff_paranae,Astyanaxlacustris,Bryconamericusaff_iheringii,Piabarchus_stramineus,Characidiumaff_zebra,Oligosarcu_spintoi,Cetopsorhamdia_iheringi,Imparfnis_mirini,Pimelodella_avanhandavae,Rhamdia_quelen,Hisonotus_francirochai,Hypostomus_ancistroides,Hypostomus_cf_strigaticeps,Rineloricaria_pentamaculata,Poecilia_reticulata_femea,Poecilia_reticulata_macho
Algae,0,0,0.031,0.066,0,0,0,0,0,0.273,0,0,0,0.01,0,0
Arachinida_adulto,0.003,0,0,0.02,0,0.076,0,0,0,0.031,0,0,0,0,0.001,0
Ceratopogonidae,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0
Chironomidae,0.029,0.001,0.017,0.009,0.039,0.001,0.007,0.036,0.782,0.023,0,0,0,0.067,0.021,0.056
Coleoptera_larva,0.001,0.001,0,0.034,0.388,0.029,0.003,0.052,0,0.142,0,0,0,0,0,0
Coleoptera_adulto,0.001,0,0.077,0,0,0,0.002,0.026,0,0.045,0,0,0,0,0,0
Detrito,0.001,0,0.042,0,0.004,0.046,0.006,0.011,0,0,0.935,0.929,0.999,0.783,0.881,0.943
Diptera,0.001,0.001,0.003,0.046,0,0.03,0,0.002,0,0,0,0,0,0,0,0
Diptera_adulto,0.001,0,0,0.048,0,0.03,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,0.001,0.001,0.095,0.074,0.033,0,0.099,0.02,0.13,0,0,0,0,0.039,0,0
Frutos_Sementes,0.73,0.895,0.019,0.108,0,0.046,0.019,0,0,0,0,0,0,0,0,0
Hemiptera,0.001,0.029,0.087,0.066,0,0,0,0.002,0,0.027,0,0,0,0,0.001,0
Hymenoptera_adulto,0.001,0,0.001,0.138,0,0.2,0,0.002,0.043,0,0,0,0,0,0,0
Isopoda_adulto,0.001,0,0.003,0,0,0,0,0,0,0.145,0,0,0,0,0,0
Lepidoptera_adulto,0.001,0,0.021,0.011,0,0,0,0,0,0.127,0,0,0,0,0,0
Microplastico,0.001,0,0.062,0.013,0.001,0,0,0,0,0,0,0.002,0.001,0.01,0,0
Odonata,0.002,0.001,0,0,0,0,0,0.001,0,0.004,0,0,0,0,0,0
Oligoqueta_adulto,0,0,0,0.002,0.009,0,0,0.033,0,0.018,0,0,0,0,0.001,0
Sarcophagidae,0.005,0.007,0.001,0,0,0.615,0,0,0,0.018,0,0,0,0,0,0
Simuliidae,0.003,0.001,0.139,0.288,0,0,0.604,0.01,0.043,0.001,0,0,0,0,0,0
Trichoptera,0.001,0,0.028,0.001,0.521,0,0.255,0.783,0,0.139,0,0,0,0.083,0.01,0
Vegetal,0.205,0.065,0.443,0,0,0,0.001,0.005,0,0,0.064,0.067,0.001,0.006,0.08,0
