,Astyanax bockmanni,Geophagus_brasiliensis,Gymnotus_sylvius,Hypostomus_ancistroides,Hypostomus_fluviatilis,Hypostomus_nigromaculatus,Imparfinis_mirini,Knodus_moenkhausii,Rhamdia_quelen
Crustacean,0.1,2.88,0.13,0.01,0.01,0,0,0.79,0
Aquatic_hexapod,43.68,36.59,86.43,0,0,0,100,95.09,18.92
Terrestrial_insect,0.29,0,0,0,0,0,0,0.06,0
Terrestrial_arachnid,0.09,0,0,0,0,0,0,0.04,0
Aquatic_arachnid,0.01,0,0,0,0,0,0,0,0
Plant_fragments,3.15,0,3.2,0.17,0.23,0.56,0,1.48,81.08
Algae,52.68,3.46,10.24,8.18,2.69,8.62,0,2.53,0
Mollusca,0.01,0,0,0,0,0,0,0,0
Protozoa,0.01,0,0,0,0,0,0,0,0
Fish,0.01,0,0,0,0,0,0,0,0
Organic_matter,0,57.07,0,91.64,97.07,90.82,0,0,0
