,num_link,pastagem,agricultura,urbano,sp,uso
1,0.9182064,0,0,0,8,0
2,0.9439384,0,0,0,13,0
3,-1.1725856,49.25839188,0,0,17,49.25839188
4,-1.3667125,0,0,0,13,0
5,-1.1956177,23.0741924,74.8313809,0,9,84.59353923
6,-1.0333711,72.21810089,0,0,71,72.21810089
7,0.4933895,12.8113879,9.252669039,0,6,17.43772242
8,-1.07046,15.31703591,0,0,39,15.31703591
9,0.7852761,89.48374761,10.43977055,0,5,89.48374761
10,-0.8026259,3.726469458,0,0,32,3.726469458
11,0.8360301,0,0,0,9,0
12,-1.0478729,0,0,0,75,0
13,-1.1380254,55.44905928,44.44444444,0,13,74.93787717
14,-1.088553,0,0,0,22,0
15,-1.1609294,0,0,0,15,0
16,-1.3114372,41.05662983,14.15745856,0,18,42.1961326
17,0.8902809,12.7675841,93.31039755,0,14,97.93577982
18,0.8244145,34.48911841,45.81335301,0,7,63.99852453
19,0.723618,0,0,0,11,0
20,-1.0859479,92.2020052,4.715930189,0,31,93.0560713
21,0.9418632,68.03571429,0,0,7,69.5
22,-1.2365761,90.6935598,19.81599434,0,7,91.08280255
23,0.2525057,55.5472822,10.83395383,0,10,61.7274758
24,-1.636533,29.62677953,69.6806464,0,17,84.87879954
25,0.643287,29.81530343,78.13795703,0,17,96.3060686
26,-1.1036671,3.104637792,0,0,20,3.104637792
27,-1.0408518,0,0,0,37,0
28,-1.0105528,2.510621862,0,0,50,3.051371186
29,0.9231299,49.73319104,40.27036642,37.70900036,7,91.21309143
30,-1.2525838,0,0,0,15,0
31,-1.4846016,46.37514384,0,0,9,46.64365171
32,-1.0415931,0,0,0,66,0
33,0.9483384,5.042016807,82.96409473,0,11,82.96409473
34,-1.1007262,0,0,0,21,0
35,-1.5455164,2.637444279,1.263001486,0,20,2.637444279
36,0.4663586,23.86201991,86.87766714,0,6,89.68705548
37,-1.8227822,98.12002892,9.797541576,0,31,98.12002892
38,0.6099327,8.488694962,64.73621579,0,7,87.86195954
39,0.3095702,54.43743038,18.78945414,0,6,73.22688452
40,0.7371762,55.60917519,5.466149391,0,6,66.76037849
41,-1.1277413,78.8909427,0,0,28,78.8909427
42,0.8232944,99.30609098,18.31148805,0,12,99.61449499
43,-1.018183,0,0,0,99,0
44,-1.4565159,0.429352069,0.039032006,0,14,0.429352069
45,-1.1331107,1.511198713,0,0,28,1.511198713
46,-0.4908697,5.329890321,96.93487904,0,16,97.58664821
47,-1.033071,15.80258906,74.72028306,9.922555212,15,93.57623759
48,-0.1542439,11.56133829,57.99256506,0,9,69.55390335
49,-2.9838728,34.75328364,0,0,9,34.75328364
