,numero_sp,pastagem,agricultura,urbano,uso
1,2.197225,0,0,0,0
2,2.639057,0,0,0,0
3,2.890372,49.25839188,0,0,49.25839188
4,2.639057,0,0,0,0
5,2.302585,23.0741924,74.8313809,0,84.59353923
6,4.276666,72.21810089,0,0,72.21810089
7,1.94591,12.8113879,9.252669039,0,17.43772242
8,3.688879,15.31703591,0,0,15.31703591
9,1.791759,89.48374761,10.43977055,0,89.48374761
10,3.465736,3.726469458,0,0,3.726469458
11,2.302585,0,0,0,0
12,4.330733,0,0,0,0
13,2.639057,55.44905928,44.44444444,0,74.93787717
14,3.135494,0,0,0,0
15,2.772589,0,0,0,0
16,2.944439,41.05662983,14.15745856,0,42.1961326
17,2.70805,12.7675841,93.31039755,0,97.93577982
18,2.079442,34.48911841,45.81335301,0,63.99852453
19,2.484907,0,0,0,0
20,3.496508,92.2020052,4.715930189,0,93.0560713
21,2.079442,68.03571429,0,0,69.5
22,2.079442,90.6935598,19.81599434,0,91.08280255
23,2.397895,55.5472822,10.83395383,0,61.7274758
24,2.890372,29.62677953,69.6806464,0,84.87879954
25,2.772589,29.81530343,78.13795703,0,96.3060686
26,3.044522,3.104637792,0,0,3.104637792
27,3.637586,0,0,0,0
28,3.931826,2.510621862,0,0,3.051371186
29,2.079442,49.73319104,40.27036642,37.70900036,91.21309143
30,2.772589,0,0,0,0
31,2.302585,46.37514384,0,0,46.64365171
32,4.204693,0,0,0,0
33,2.484907,5.042016807,82.96409473,0,82.96409473
34,3.091042,0,0,0,0
35,3.044522,2.637444279,1.263001486,0,2.637444279
36,1.94591,23.86201991,86.87766714,0,89.68705548
37,3.465736,98.12002892,9.797541576,0,98.12002892
38,2.079442,8.488694962,64.73621579,0,87.86195954
39,1.94591,54.43743038,18.78945414,0,73.22688452
40,1.94591,55.60917519,5.466149391,0,66.76037849
41,3.367296,78.8909427,0,0,78.8909427
42,2.564949,99.30609098,18.31148805,0,99.61449499
43,4.60517,0,0,0,0
44,2.70805,0.429352069,0.039032006,0,0.429352069
45,3.367296,1.511198713,0,0,1.511198713
46,2.833213,5.329890321,96.93487904,0,97.58664821
47,2.772589,15.80258906,74.72028306,9.922555212,93.57623759
48,2.302585,11.56133829,57.99256506,0,69.55390335
49,2.302585,34.75328364,0,0,34.75328364
