dens_link,pastagem,agricultura,urbano,sp,uso
9.8735157,0,0,0,8,0
4.5980402,0,0,0,13,0
6.9673417,49.25839188,0,0,17,49.25839188
2.5308657,0,0,0,13,0
2.8635509,23.0741924,74.8313809,0,9,84.59353923
10.0425633,72.21810089,0,0,71,72.21810089
7.4261785,12.8113879,9.252669039,0,6,17.43772242
7.5203699,15.31703591,0,0,39,15.31703591
0.7485913,89.48374761,10.43977055,0,5,89.48374761
8.2007614,3.726469458,0,0,32,3.726469458
1.612221,0,0,0,9,0
16.2689921,0,0,0,75,0
1.6494552,55.44905928,44.44444444,0,13,74.93787717
14.5617924,0,0,0,22,0
1.2478432,0,0,0,15,0
2.2569789,41.05662983,14.15745856,0,18,42.1961326
6.401818,12.7675841,93.31039755,0,14,97.93577982
0.4896769,34.48911841,45.81335301,0,7,63.99852453
2.8457913,0,0,0,11,0
8.3087124,92.2020052,4.715930189,0,31,93.0560713
1.613314,68.03571429,0,0,7,69.5
-0.3340639,90.6935598,19.81599434,0,7,91.08280255
2.1132468,55.5472822,10.83395383,0,10,61.7274758
9.5814054,29.62677953,69.6806464,0,17,84.87879954
8.2144447,29.81530343,78.13795703,0,17,96.3060686
10.5466195,3.104637792,0,0,20,3.104637792
13.4388566,0,0,0,37,0
24.909618,2.510621862,0,0,50,3.051371186
4.8811913,49.73319104,40.27036642,37.70900036,7,91.21309143
11.9352607,0,0,0,15,0
0.3513956,46.37514384,0,0,9,46.64365171
14.4692888,0,0,0,66,0
7.9972298,5.042016807,82.96409473,0,11,82.96409473
17.3052132,0,0,0,21,0
16.3316152,2.637444279,1.263001486,0,20,2.637444279
1.0458233,23.86201991,86.87766714,0,6,89.68705548
18.5268344,98.12002892,9.797541576,0,31,98.12002892
-31.6069771,8.488694962,64.73621579,0,7,87.86195954
2.3839455,54.43743038,18.78945414,0,6,73.22688452
1.8193345,55.60917519,5.466149391,0,6,66.76037849
10.0983501,78.8909427,0,0,28,78.8909427
10.6564165,99.30609098,18.31148805,0,12,99.61449499
15.4975643,0,0,0,99,0
5.5826986,0.429352069,0.039032006,0,14,0.429352069
21.3791167,1.511198713,0,0,28,1.511198713
-31.6069771,5.329890321,96.93487904,0,16,97.58664821
3.9228471,15.80258906,74.72028306,9.922555212,15,93.57623759
3.7102376,11.56133829,57.99256506,0,9,69.55390335
-31.6069771,34.75328364,0,0,9,34.75328364
